N	q	DEPTOS
12	1	1
34	1	1
35	1	1
42	3	3
46	1	1
69	1	1
83	2	0
85	1	0
100	1	1
112	1	1
117	1	1
181	1	1
192	1	1
194	1	1
235	1	1
237	1	1
296	1	1
297	1	1
303	1	1
316	1	1
322	1	1
370	1	1
383	1	1
422	2	2
448	1	1
459	1	1
464	1	1
474	1	1
484	1	1
496	1	1
503	1	1
510	1	1
522	1	1
527	1	1
545	1	1
593	1	1
613	1	1
615	1	1
616	1	1
617	1	1
636	2	0
654	1	1
666	1	1
670	1	1
717	1	1
723	1	1
763	1	1
768	1	1
782	1	1
785	1	1
801	1	1
813	1	1
833	1	1
846	1	1
880	1	1
908	1	1
922	1	1
970	1	1
992	1	1
993	1	1
1001	1	1
1011	1	1
1045	1	1
1048	1	1
1050	1	1
1054	1	1
1055	1	1
1057	1	1
1087	1	1
1150	1	1
1160	1	1
1161	1	1
1163	1	1
1170	2	2
1173	1	1
1178	1	1
1181	1	1
1212	1	1
1250	1	1
1258	1	1
1289	1	1
1300	1	1
1387	1	1
1389	1	1
1394	3	0
1416	1	1
1417	1	1
1429	1	1
1430	1	1
1435	1	1
1448	1	1
1508	1	1
1572	1	1
1598	3	3
1602	1	1
1604	1	1
1622	1	1
1625	1	1
1628	1	1
1630	1	1
1645	1	1
1686	1	1
1717	1	1
1719	1	1
1732	1	1
1741	1	1
1766	1	1
1800	1	1
0	0	0
1838	0	0
