N	D	1	2	3	4	5	6	7	8	9	10
12	1	15	15	15	14	9	9	13	13	9	8
34	1	18	19	16	18	13	14	14	14	12	11
35	1	18	18	18	18	13	14	16	16	12	11
42	1	38	40	37	37	34	33	34	36	32	30
46	1	18	20	18	16	12	12	14	16	10	12
69	1	20	20	16	17	12	13	16	14	11	12
83	1	24	24	22	22	19	18	20	22	18	16
85	1	17	18	15	14	11	11	14	13	9	8
100	1	20	19	17	16	13	14	16	16	12	10
112	1	19	18	16	16	13	13	16	14	11	11
117	1	20	20	18	16	13	13	16	16	12	12
181	1	19	20	18	18	14	13	16	16	12	11
192	1	20	20	18	16	13	13	15	15	12	10
194	1	19	18	18	17	13	12	14	14	11	10
235	1	19	18	18	17	13	12	14	14	11	10
237	1	18	20	16	17	13	12	15	15	12	11
296	1	19	20	17	17	12	12	14	14	11	12
297	1	20	20	18	17	14	12	14	16	10	12
303	1	18	19	17	18	14	14	15	14	10	12
316	1	20	19	16	16	13	12	16	14	10	11
322	1	19	20	16	16	14	12	16	16	11	12
370	1	19	18	17	17	12	13	16	16	12	12
383	1	18	18	16	16	13	12	15	16	12	10
422	1	30	29	26	27	23	23	25	24	21	22
448	1	20	18	18	18	12	12	16	14	10	12
459	1	18	19	17	18	12	13	16	16	10	12
464	1	20	19	17	18	12	12	16	14	12	11
474	1	19	19	17	17	12	14	15	14	12	11
484	1	20	20	17	17	12	12	14	14	11	12
496	1	19	18	16	16	14	12	16	15	10	10
503	1	18	18	18	16	14	12	16	15	12	11
510	1	18	18	16	18	14	14	16	15	10	10
522	1	18	19	16	17	14	12	16	16	12	12
527	1	20	20	16	17	14	14	14	16	12	12
545	1	19	19	18	17	14	13	16	15	11	12
593	1	19	19	17	16	12	12	14	15	12	12
613	1	19	19	17	17	13	14	15	15	12	11
615	1	19	19	17	18	14	12	16	14	12	11
616	1	19	20	17	16	13	12	16	14	10	10
617	1	19	19	18	17	12	13	15	15	11	11
636	1	25	24	24	23	20	18	22	22	17	18
654	1	18	18	17	16	14	13	15	15	10	12
666	1	20	20	17	16	12	12	15	14	12	10
670	1	18	19	17	17	13	12	15	16	11	10
