N	D	1	2	3	4	5	6	7	8	9	10
1	1	5	5.5	6.5	6.2	6.2	6	6.5	6.8	6.8	7.3
1	2	4.5	5	6	5.7	5.7	5.5	6	6.3	6.3	6.8
1	3	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
1	4	3.5	4	5	4.7	4.7	4.5	5	5.3	5.3	5.8
1	5	5.5	6	7	6.7	6.7	6.5	7	7.3	7.3	7.8
1	6	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
1	7	3.5	4	5	4.7	4.7	4.5	5	5.3	5.3	5.8
1	8	3	3.5	4.5	4.2	4.2	4	4.5	4.8	4.8	5.3
2	1	11	11.5	12.5	12.2	12.2	12	12.5	12.8	12.8	13.3
2	2	10.5	11	12	11.7	11.7	11.5	12	12.3	12.3	12.8
2	3	10	10.5	11.5	11.2	11.2	11	11.5	11.8	11.8	12.3
2	4	9.5	10	11	10.7	10.7	10.5	11	11.3	11.3	11.8
2	5	11.5	12	13	12.7	12.7	12.5	13	13.3	13.3	13.8
2	6	10	10.5	11.5	11.2	11.2	11	11.5	11.8	11.8	12.3
2	7	9.5	10	11	10.7	10.7	10.5	11	11.3	11.3	11.8
2	8	9	9.5	10.5	10.2	10.2	10	10.5	10.8	10.8	11.3
3	1	3	3.5	4.5	4.2	4.2	4	4.5	4.8	4.8	5.3
3	2	2.5	3	4	3.7	3.7	3.5	4	4.3	4.3	4.8
3	3	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3
3	4	1.5	2	3	2.7	2.7	2.5	3	3.3	3.3	3.8
3	5	3.5	4	5	4.7	4.7	4.5	5	5.3	5.3	5.8
3	6	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3
3	7	1.5	2	3	2.7	2.7	2.5	3	3.3	3.3	3.8
3	8	1	1.5	2.5	2.2	2.2	2	2.5	2.8	2.8	3.3
4	1	12	12.5	13.5	13.2	13.2	13	13.5	13.8	13.8	14.3
4	2	11.5	12	13	12.7	12.7	12.5	13	13.3	13.3	13.8
4	3	11	11.5	12.5	12.2	12.2	12	12.5	12.8	12.8	13.3
4	4	10.5	11	12	11.7	11.7	11.5	12	12.3	12.3	12.8
4	5	12.5	13	14	13.7	13.7	13.5	14	14.3	14.3	14.8
4	6	11	11.5	12.5	12.2	12.2	12	12.5	12.8	12.8	13.3
4	7	10.5	11	12	11.7	11.7	11.5	12	12.3	12.3	12.8
4	8	10	10.5	11.5	11.2	11.2	11	11.5	11.8	11.8	12.3
5	1	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
5	2	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
5	3	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
5	4	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
5	5	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
5	6	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3
5	7	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3	
5	8	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3	
6	1	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
6	2	5.5	6	7	6.7	6.7	6.5	7	7.3	7.3	7.8	
6	3	5	5.5	6.5	6.2	6.2	6	6.5	6.8	6.8	7.3	
6	4	4.5	5	6	5.7	5.7	5.5	6	6.3	6.3	6.8	
6	5	6.5	7	8	7.7	7.7	7.5	8	8.3	8.3	8.8	
6	6	5	5.5	6.5	6.2	6.2	6	6.5	6.8	6.8	7.3	
6	7	4.5	5	6	5.7	5.7	5.5	6	6.3	6.3	6.8	
6	8	4	4.5	5.5	5.2	5.2	5	5.5	5.8	5.8	6.3	
7	1	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	2	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	3	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	4	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	5	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	6	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	7	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
7	8	2	2.5	3.5	3.2	3.2	3	3.5	3.8	3.8	4.3	
8	1	20	20.5	21.5	21.2	21.2	21	21.5	21.8	21.8	22.3	
8	2	19	19.5	20.5	20.2	20.2	20	20.5	20.8	20.8	21.3	
8	3	18	18.5	19.5	19.2	19.2	19	19.5	19.8	19.8	20.3	
8	4	17	17.5	18.5	18.2	18.2	18	18.5	18.8	18.8	19.3	
8	5	21	21.5	22.5	22.2	22.2	22	22.5	22.8	22.8	23.3	
8	6	18	18.5	19.5	19.2	19.2	19	19.5	19.8	19.8	20.3	
8	7	17	17.5	18.5	18.2	18.2	18	18.5	18.8	18.8	19.3	
8	8	16	16.5	17.5	17.2	17.2	17	17.5	17.8	17.8	18.3	
9	1	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	2	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	3	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	4	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	5	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	6	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	7	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
9	8	6	6.5	7.5	7.2	7.2	7	7.5	7.8	7.8	8.3	
10	1	10	10.5	11.5	11.2	11.2	11	11.5	11.8	11.8	12.3	
10	2	9.5	10	11	10.7	10.7	10.5	11	11.3	11.3	11.8	
10	3	9	9.5	10.5	10.2	10.2	10	10.5	10.8	10.8	11.3	
10	4	8.5	9	10	9.7	9.7	9.5	10	10.3	10.3	10.8	
10	5	10.5	11	12	11.7	11.7	11.5	12	12.3	12.3	12.8	
10	6	9	9.5	10.5	10.2	10.2	10	10.5	10.8	10.8	11.3	
10	7	8.5	9	10	9.7	9.7	9.5	10	10.3	10.3	10.8	
10	8	8	8.5	9.5	9.2	9.2	9	9.5	9.8	10.3	10.8
11	1	0	0	0	0	0	0	0	0	0	0
11	2	0	0	0	0	0	0	0	0	0	0	
11	3	0	0	0	0	0	0	0	0	0	0
11	4	0	0	0	0	0	0	0	0	0	0
11	5	0	0	0	0	0	0	0	0	0	0	
11	6	0	0	0	0	0	0	0	0	0	0			
11	7	0	0	0	0	0	0	0	0	0	0	
11	8	0	0	0	0	0	0	0	0	0	0		
0	1	0	0	0	0	0	0	0	0	0	0	
0	2	0	0	0	0	0	0	0	0	0	0	
0	3	0	0	0	0	0	0	0	0	0	0		
0	4	0	0	0	0	0	0	0	0	0	0	
0	5	0	0	0	0	0	0	0	0	0	0	
0	6	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0	0	0	0	0	0	0	0		
0	8	0	0	0	0	0	0	0	0	0	0
