i	j	1	2	3	4	5	6	7	8	9	10
0	1	40	30	20	10	9	5	8	7	10	20
0	2	40	30	20	10	9	5	8	7	10	20
0	3	40	30	20	10	9	5	8	7	10	20
0	4	40	30	20	10	9	5	8	7	10	20
0	5	40	30	20	10	9	5	8	7	10	20
0	6	40	30	20	10	9	5	8	7	10	20
0	7	40	30	20	10	9	5	8	7	10	20
0	8	40	30	20	10	9	5	8	7	10	20
0	9	40	30	20	10	9	5	8	7	10	20
0	10	40	30	20	10	9	5	8	7	10	20
1	1	40	30	20	10	9	5	8	7	10	20
1	2	40	30	20	10	9	5	8	7	10	20
1	3	40	30	20	10	9	5	8	7	10	20
1	4	40	30	20	10	9	5	8	7	10	20
1	5	40	30	20	10	9	5	8	7	10	20
1	6	40	30	20	10	9	5	8	7	10	20
1	7	40	30	20	10	9	5	8	7	10	20
1	8	40	30	20	10	9	5	8	7	10	20
1	9	40	30	20	10	9	5	8	7	10	20
1	10	40	30	20	10	9	5	8	7	10	20
2	1	40	30	20	10	9	5	8	7	10	20
2	2	40	30	20	10	9	5	8	7	10	20
2	3	40	30	20	10	9	5	8	7	10	20
2	4	40	30	20	10	9	5	8	7	10	20
2	5	40	30	20	10	9	5	8	7	10	20
2	6	40	30	20	10	9	5	8	7	10	20
2	7	40	30	20	10	9	5	8	7	10	20
2	8	40	30	20	10	9	5	8	7	10	20
2	9	40	30	20	10	9	5	8	7	10	20
2	10	40	30	20	10	9	5	8	7	10	20
3	1	40	30	20	10	9	5	8	7	10	20
3	2	40	30	20	10	9	5	8	7	10	20
3	3	40	30	20	10	9	5	8	7	10	20
3	4	40	30	20	10	9	5	8	7	10	20
3	5	40	30	20	10	9	5	8	7	10	20
3	6	40	30	20	10	9	5	8	7	10	20
3	7	40	30	20	10	9	5	8	7	10	20
3	8	40	30	20	10	9	5	8	7	10	20
3	9	40	30	20	10	9	5	8	7	10	20
3	10	40	30	20	10	9	5	8	7	10	20
4	1	40	30	20	10	9	5	8	7	10	20
4	2	40	30	20	10	9	5	8	7	10	20
4	3	40	30	20	10	9	5	8	7	10	20
4	4	40	30	20	10	9	5	8	7	10	20
4	5	40	30	20	10	9	5	8	7	10	20
4	6	40	30	20	10	9	5	8	7	10	20
4	7	40	30	20	10	9	5	8	7	10	20
4	8	40	30	20	10	9	5	8	7	10	20
4	9	40	30	20	10	9	5	8	7	10	20
4	10	40	30	20	10	9	5	8	7	10	20
5	1	40	30	20	10	9	5	8	7	10	20
5	2	40	30	20	10	9	5	8	7	10	20
5	3	40	30	20	10	9	5	8	7	10	20
5	4	40	30	20	10	9	5	8	7	10	20
5	5	40	30	20	10	9	5	8	7	10	20
5	6	40	30	20	10	9	5	8	7	10	20
5	7	40	30	20	10	9	5	8	7	10	20
5	8	40	30	20	10	9	5	8	7	10	20
5	9	40	30	20	10	9	5	8	7	10	20
5	10	40	30	20	10	9	5	8	7	10	20
6	1	40	30	20	10	9	5	8	7	10	20
6	2	40	30	20	10	9	5	8	7	10	20
6	3	40	30	20	10	9	5	8	7	10	20
6	4	40	30	20	10	9	5	8	7	10	20
6	5	40	30	20	10	9	5	8	7	10	20
6	6	40	30	20	10	9	5	8	7	10	20
6	7	40	30	20	10	9	5	8	7	10	20
6	8	40	30	20	10	9	5	8	7	10	20
6	9	40	30	20	10	9	5	8	7	10	20
6	10	40	30	20	10	9	5	8	7	10	20
7	1	40	30	20	10	9	5	8	7	10	20
7	2	40	30	20	10	9	5	8	7	10	20
7	3	40	30	20	10	9	5	8	7	10	20
7	4	40	30	20	10	9	5	8	7	10	20
7	5	40	30	20	10	9	5	8	7	10	20
7	6	40	30	20	10	9	5	8	7	10	20
7	7	40	30	20	10	9	5	8	7	10	20
7	8	40	30	20	10	9	5	8	7	10	20
7	9	40	30	20	10	9	5	8	7	10	20
7	10	40	30	20	10	9	5	8	7	10	20
8	1	40	30	20	10	9	5	8	7	10	20
8	2	40	30	20	10	9	5	8	7	10	20
8	3	40	30	20	10	9	5	8	7	10	20
8	4	40	30	20	10	9	5	8	7	10	20
8	5	40	30	20	10	9	5	8	7	10	20
8	6	40	30	20	10	9	5	8	7	10	20
8	7	40	30	20	10	9	5	8	7	10	20
8	8	40	30	20	10	9	5	8	7	10	20
8	9	40	30	20	10	9	5	8	7	10	20
8	10	40	30	20	10	9	5	8	7	10	20
9	1	40	30	20	10	9	5	8	7	10	20
9	2	40	30	20	10	9	5	8	7	10	20
9	3	40	30	20	10	9	5	8	7	10	20
9	4	40	30	20	10	9	5	8	7	10	20
9	5	40	30	20	10	9	5	8	7	10	20
9	6	40	30	20	10	9	5	8	7	10	20
9	7	40	30	20	10	9	5	8	7	10	20
9	8	40	30	20	10	9	5	8	7	10	20
